Gene,Control Linear Regression Slope,Control Linear Regression R2,siUPF1 Linear Regression Slope,siUPF1 Linear Regression R2,Control Log Regression Slope,Control Log Regression R2,siUPF1 Log Regression Slope,siUPF1 Log Regression R2,Category
LOC653602,-0.003929903,0.86708196,-0.002124991,0.867285827,-0.011103569,0.894015689,-0.003825461,0.904579173,siUPF1-Stab
LOC728485,-0.003202504,0.886011829,-0.002628704,0.952270917,-0.006902633,0.881792702,-0.005143013,0.964013008,siUPF1-Stab
LPAR1,-0.003862992,0.911193175,-0.003391348,0.942903644,-0.0091499,0.885652741,-0.007395017,0.93039777,siUPF1-Stab
LRFN3,-0.002622502,0.725939214,-0.00218722,0.742253313,-0.005320048,0.712037369,-0.004087021,0.813734447,siUPF1-Stab
MAD1L1,-0.002393071,0.839824397,-0.00132334,0.922718754,-0.0043703,0.846836809,-0.00217227,0.918722878,siUPF1-Stab
MAFF,-0.003092155,0.879818326,-0.002523718,0.906132345,-0.006327114,0.864876478,-0.004761778,0.900948064,siUPF1-Stab
MAML3,-0.004639755,0.924271247,-0.004234363,0.854070602,-0.015167725,0.894034408,-0.01246263,0.970418453,siUPF1-Stab
MAP1S,-0.00334625,0.912955115,-0.002967235,0.969090555,-0.007309792,0.869436279,-0.006026704,0.959173719,siUPF1-Stab
MAPK7,-0.002949237,0.875338253,-0.001904974,0.900239871,-0.006212772,0.886506334,-0.003313474,0.910409994,siUPF1-Stab
MARK2,-0.002325067,0.926121162,-0.001784363,0.936335893,-0.004295132,0.916113122,-0.003090951,0.930108995,siUPF1-Stab
MAST2,-0.002501491,0.850951858,-0.00122434,0.800427299,-0.004671137,0.851009154,-0.00194718,0.807742279,siUPF1-Stab
MAU2,-0.00237123,0.903679792,-0.002065613,0.944279531,-0.004418433,0.891094783,-0.003655666,0.937094446,siUPF1-Stab
MCAT,-0.002245918,0.865481693,-0.001334845,0.942950655,-0.00423753,0.819467185,-0.002210072,0.94912338,siUPF1-Stab
MCHR1,-0.003915861,0.929842874,-0.002969924,0.966105371,-0.009794274,0.929967567,-0.006168288,0.978509076,siUPF1-Stab
METRNL,-0.003443765,0.813232209,-0.002642688,0.888332199,-0.007234508,0.84642049,-0.005065682,0.881258747,siUPF1-Stab
MEX3C,-0.001591906,0.956531262,-0.001232017,0.953756382,-0.00268701,0.956272394,-0.001996317,0.951949993,siUPF1-Stab
MGAT2,-0.002471861,0.973249874,-0.00217686,0.974665578,-0.00464993,0.96010159,-0.003937454,0.962366417,siUPF1-Stab
MGAT3,-0.002426905,0.723857791,-0.002083841,0.771970405,-0.004492035,0.756656899,-0.003739306,0.816766396,siUPF1-Stab
MICAL3,-0.002270316,0.892781872,-0.002020987,0.779932827,-0.004198489,0.894552089,-0.003502928,0.809852541,siUPF1-Stab
MIDN,-0.002702175,0.970034127,-0.00190016,0.940154727,-0.005318359,0.97369443,-0.003290167,0.933019721,siUPF1-Stab
MIEF2,-0.004103844,0.925913131,-0.003901665,0.924867539,-0.01043425,0.932723446,-0.009228691,0.918650632,siUPF1-Stab
MIER2,-0.003237396,0.933232031,-0.002224827,0.964390377,-0.007047545,0.940489287,-0.004095201,0.972375593,siUPF1-Stab
MIR17HG,-0.003933101,0.96745179,-0.00355281,0.72213406,-0.010335478,0.957597376,-0.009022701,0.800292859,siUPF1-Stab
MKL1,-0.004405876,0.899037196,-0.003917543,0.919736422,-0.011594215,0.902461607,-0.009197172,0.909692259,siUPF1-Stab
MN1,-0.004683387,0.937765051,-0.004302322,0.824168612,-0.01480047,0.950002715,-0.013028254,0.92530985,siUPF1-Stab
MPPED2,-0.003241526,0.873179067,-0.002622826,0.943079334,-0.007336512,0.938656571,-0.005086797,0.947599235,siUPF1-Stab
MRPL46,-0.001513963,0.838552423,-0.000735053,0.816392286,-0.00250015,0.833164375,-0.001122818,0.826035348,siUPF1-Stab
MTHFSD,-0.002447957,0.758972215,-0.00231135,0.850294703,-0.00477603,0.712618923,-0.004200496,0.850718518,siUPF1-Stab
MUL1,-0.004036208,0.960659903,-0.003580976,0.923858901,-0.010166695,0.934639205,-0.007878972,0.91193476,siUPF1-Stab
NAB2,-0.004013617,0.955748747,-0.003616235,0.94990674,-0.010465049,0.901132426,-0.008769814,0.992955532,siUPF1-Stab
NCKAP5L,-0.003148657,0.867587147,-0.002801821,0.853821782,-0.006662906,0.857262973,-0.00548865,0.86146657,siUPF1-Stab
NDUFAF4P1,-0.001978784,0.907295858,-0.001761507,0.81936282,-0.003578603,0.923662106,-0.003125136,0.835975259,siUPF1-Stab
NEDD9,-0.004870331,0.933366416,-0.004434145,0.984430702,-0.015024593,0.915998357,-0.013241496,0.98576029,siUPF1-Stab
NELFA,-0.001477751,0.82432917,-0.001217651,0.884005127,-0.002481473,0.8158802,-0.001975146,0.897036573,siUPF1-Stab
NFKBIA,-0.004904992,0.906356477,-0.004473509,0.726774364,-0.021151722,0.989762521,-0.016893477,0.901763824,siUPF1-Stab
NFKBIE,-0.003845306,0.932402236,-0.003317832,0.988677836,-0.009013543,0.921306854,-0.007369628,0.964511674,siUPF1-Stab
NFKBIL1,-0.003619825,0.882742768,-0.002877164,0.964655687,-0.008192663,0.878339663,-0.005832118,0.948626177,siUPF1-Stab
NOP2,-0.00167709,0.905796755,-0.000832192,0.87939211,-0.002839393,0.891815265,-0.001279427,0.881532035,siUPF1-Stab
NPTN-IT1,-0.005638107,0.738185112,-0.005387509,0.7579778,-0.01981434,0.840331254,-0.017082781,0.837465006,siUPF1-Stab
NR1D1,-0.005040453,0.89799095,-0.004771331,0.840108664,-0.023570143,0.978210122,-0.018892201,0.981829883,siUPF1-Stab
NUTM2A,-0.002094768,0.776957578,-0.001831468,0.782693867,-0.003779188,0.799379396,-0.00323368,0.825108952,siUPF1-Stab
NXT1,-0.003840241,0.955014552,-0.003448153,0.959241249,-0.009211189,0.940824579,-0.007652794,0.956235431,siUPF1-Stab
OGFR,-0.002409868,0.744309519,-0.001720442,0.840318439,-0.004372546,0.753462786,-0.002929281,0.861500298,siUPF1-Stab
OR2A25,-0.003226209,0.928172815,-0.001998712,0.951725794,-0.006812048,0.923982244,-0.003544851,0.949100543,siUPF1-Stab
ORAI1,-0.004582327,0.933264611,-0.003878588,0.933205778,-0.01295474,0.892661421,-0.009119632,0.919188883,siUPF1-Stab
PAQR4,-0.003024953,0.764156949,-0.002368373,0.880502405,-0.006106403,0.762789605,-0.004329704,0.876355866,siUPF1-Stab
PCGF1,-0.00446375,0.934291411,-0.00373127,0.943330465,-0.014514716,0.83513041,-0.009459304,0.951685423,siUPF1-Stab
PDGFA,-0.002924599,0.935451891,-0.002654834,0.965188194,-0.00615756,0.94490558,-0.005216849,0.968705492,siUPF1-Stab
PEX14,-0.003322275,0.874339339,-0.002546604,0.930737515,-0.007164913,0.845814572,-0.004854638,0.941873206,siUPF1-Stab
PHF2,-0.002889783,0.901807426,-0.002637528,0.893031487,-0.005869932,0.897788463,-0.004994173,0.897217417,siUPF1-Stab
PI4K2A,-0.001992757,0.917409932,-0.001767853,0.883184585,-0.003479746,0.909990674,-0.002994203,0.884154512,siUPF1-Stab
PIGC,-0.003101856,0.923703842,-0.002783874,0.977186598,-0.006299751,0.915326544,-0.005514896,0.957100072,siUPF1-Stab
PIM3,-0.004559753,0.983200983,-0.004275907,0.997618906,-0.014194574,0.954505778,-0.011867597,0.981585247,siUPF1-Stab
PITPNC1,-0.001421934,0.963815211,-0.000873325,0.995014981,-0.002374743,0.961708506,-0.001361575,0.995764372,siUPF1-Stab
PLEKHG1,-0.004799737,0.90879705,-0.004409622,0.983772766,-0.014195972,0.907107512,-0.01268449,0.967767776,siUPF1-Stab
PLEKHG3,-0.003117093,0.991341975,-0.002278979,0.942743927,-0.006573804,0.980176846,-0.004156714,0.929595528,siUPF1-Stab
PLEKHH3,-0.003394601,0.648242224,-0.002959478,0.899724479,-0.007070065,0.709297381,-0.006019936,0.886456906,siUPF1-Stab
PLEKHM1,-0.002629685,0.82388091,-0.002444056,0.789890585,-0.00505456,0.832220823,-0.004474361,0.830461,siUPF1-Stab
PLK3,-0.003670237,0.981972234,-0.003145199,0.863780488,-0.008819728,0.980017484,-0.00703695,0.93597999,siUPF1-Stab
PMEPA1,-0.003974432,0.990906074,-0.003779877,0.992417508,-0.010308218,0.993150054,-0.009099393,0.976275751,siUPF1-Stab
PNMA1,-0.001083931,0.886911103,-0.000784438,0.882072278,-0.00172877,0.888872251,-0.001202109,0.885997837,siUPF1-Stab
PP7080,-0.002834905,0.914987409,-0.002494265,0.936028116,-0.00573616,0.859934268,-0.004866388,0.929871267,siUPF1-Stab
PPP1R15A,-0.003896005,0.957576078,-0.003628389,0.926584954,-0.010080956,0.97815204,-0.008116344,0.921376174,siUPF1-Stab
PPP1R18,-0.00273575,0.959261262,-0.001490362,0.848792758,-0.005487583,0.94429286,-0.002508531,0.848309694,siUPF1-Stab
PPP1R26,-0.00264368,0.843667235,-0.002422538,0.916617782,-0.005164763,0.809789903,-0.004539927,0.938401073,siUPF1-Stab
PPP1R37,-0.002854098,0.849936842,-0.002061546,0.893391774,-0.005792088,0.831704897,-0.003680251,0.909569532,siUPF1-Stab
PPP3CC,-0.003550188,0.848854484,-0.003276307,0.948317232,-0.007942957,0.84532474,-0.006985225,0.941190399,siUPF1-Stab
PRDM11,-0.003675702,0.835746124,-0.003023468,0.91158798,-0.008839856,0.873756164,-0.006195175,0.880828258,siUPF1-Stab
PRICKLE2,-0.002852148,0.853528505,-0.00153378,0.810771136,-0.005825276,0.90728954,-0.002608424,0.835152412,siUPF1-Stab
PRKD2,-0.00246459,0.885858063,-0.00140627,0.879328461,-0.004603791,0.880069629,-0.002295495,0.88716711,siUPF1-Stab
