Gene,Control Linear Regression Slope,Control Linear Regression R2,siUPF1 Linear Regression Slope,siUPF1 Linear Regression R2,Control Log Regression Slope,Control Log Regression R2,siUPF1 Log Regression Slope,siUPF1 Log Regression R2,Category
JADE3,-0.00148309,0.87802114,-0.002611611,0.87327053,-0.002439439,0.881007786,-0.00494874,0.892210997,siUPF1-Destab
JAKMIP2,-0.001369823,0.939924557,-0.002217441,0.885091313,-0.002257046,0.946347874,-0.00400264,0.865381446,siUPF1-Destab
JAZF1,-0.001072764,0.704871473,-0.002950557,0.96896947,-0.001687613,0.706062815,-0.005965732,0.956169398,siUPF1-Destab
JHDM1D-AS1,-0.002328344,0.746346047,-0.003655884,0.958495785,-0.004107563,0.78292183,-0.008379529,0.947425013,siUPF1-Destab
JKAMP,-0.000459513,0.719886115,-0.000936416,0.901550684,-0.000686602,0.72167868,-0.001459372,0.902962067,siUPF1-Destab
JMJD1C,-0.003394668,0.896144527,-0.003730903,0.977839251,-0.007472198,0.922914077,-0.00910373,0.938819922,siUPF1-Destab
JMY,-0.004038988,0.994287412,-0.004311502,0.987811452,-0.010647002,0.990980887,-0.011892309,0.944630518,siUPF1-Destab
JRK,-0.003336358,0.903988068,-0.003689429,0.870235599,-0.007484972,0.870057154,-0.009128918,0.930905884,siUPF1-Destab
JRKL,-0.004147845,0.924304541,-0.004566908,0.977664532,-0.011571155,0.963932247,-0.014781746,0.979210015,siUPF1-Destab
KANK1,-0.00144827,0.702169427,-0.002006777,0.813927195,-0.002329445,0.726836904,-0.003472395,0.818232545,siUPF1-Destab
KANSL1,-0.002401149,0.875400428,-0.002951954,0.966043106,-0.004674553,0.898035129,-0.006195887,0.979545853,siUPF1-Destab
KANSL1L,-0.002511868,0.937383306,-0.003420074,0.934352336,-0.00475396,0.944990402,-0.00767592,0.910178252,siUPF1-Destab
KAT6A,-0.004705501,0.992694516,-0.004983503,0.992610332,-0.015154953,0.972661539,-0.017484877,0.950055589,siUPF1-Destab
KAT6B,-0.003242394,0.986854886,-0.003986601,0.972472121,-0.006955495,0.97247559,-0.009933662,0.929488462,siUPF1-Destab
KATNAL1,-0.001414737,0.82228007,-0.002727421,0.97190677,-0.002365741,0.856655947,-0.005332226,0.956202385,siUPF1-Destab
KBTBD2,-0.003085812,0.954421312,-0.003574535,0.991453043,-0.006664119,0.989002167,-0.008328292,0.982436588,siUPF1-Destab
KBTBD4,-0.002709782,0.868987794,-0.004151995,0.963658093,-0.005385828,0.846268131,-0.010715052,0.925163245,siUPF1-Destab
KBTBD6,-0.004178646,0.902001798,-0.004501292,0.868554514,-0.012327179,0.98687831,-0.015516526,0.98924246,siUPF1-Destab
KBTBD7,-0.004445912,0.998425865,-0.004836839,0.987958899,-0.012860283,0.973488034,-0.017258912,0.982947028,siUPF1-Destab
KBTBD8,-0.004456493,0.986279651,-0.004660022,0.985619381,-0.012654098,0.946539848,-0.015480645,0.98997275,siUPF1-Destab
KCNA3,-0.003182132,0.878260379,-0.003911673,0.922821438,-0.007001701,0.90420898,-0.010060749,0.937961871,siUPF1-Destab
KCNB1,-0.004535062,0.877707047,-0.004591426,0.856461903,-0.015068825,0.971776171,-0.016707312,0.979527643,siUPF1-Destab
KCNC4,-0.001972821,0.663625179,-0.003068251,0.872960626,-0.003419213,0.708468144,-0.006226363,0.898398918,siUPF1-Destab
KCND2,-0.003155972,0.922208729,-0.00403953,0.912434385,-0.006754866,0.928791806,-0.010766959,0.914803694,siUPF1-Destab
KCNE3,-0.002331871,0.818345743,-0.003054067,0.908512347,-0.004413827,0.853987911,-0.006391651,0.906322113,siUPF1-Destab
KCNG3,-0.004241275,0.921289454,-0.004559837,0.950783727,-0.013069604,0.833530722,-0.015105676,0.990160325,siUPF1-Destab
KCNH8,-0.002631684,0.868319654,-0.003190941,0.959035012,-0.004976965,0.886814238,-0.006958786,0.904311896,siUPF1-Destab
KCNJ11,-0.00392283,0.872883523,-0.00411618,0.927229235,-0.009910926,0.836302119,-0.011512433,0.987376879,siUPF1-Destab
KCNJ12,-0.003872044,0.89934327,-0.004286155,0.909208912,-0.010513871,0.889861518,-0.012958999,0.918033254,siUPF1-Destab
KCNK1,-0.001399563,0.885010228,-0.002163177,0.897654112,-0.002300083,0.878254691,-0.003945948,0.880525306,siUPF1-Destab
KCNMB3,-0.000995807,0.768172462,-0.002047314,0.940882978,-0.001561724,0.794098274,-0.003637272,0.933830675,siUPF1-Destab
KCNN2,-0.001802093,0.988954515,-0.00322991,0.890179252,-0.003118506,0.983701737,-0.006987865,0.914758205,siUPF1-Destab
KCTD9,-0.000709353,0.775884687,-0.002304065,0.912270416,-0.001092995,0.786028289,-0.004219874,0.912043935,siUPF1-Destab
KDF1,-0.003580053,0.894893578,-0.003914717,0.987552832,-0.008178933,0.870106291,-0.009887181,0.964444708,siUPF1-Destab
KDM1B,-0.001487043,0.938292149,-0.002996538,0.919939798,-0.002484195,0.94422082,-0.006117231,0.915938261,siUPF1-Destab
KDM2B,-0.000952713,0.916552034,-0.001290906,0.938426716,-0.001495651,0.919464991,-0.002090765,0.938123958,siUPF1-Destab
KDM5A,-0.00164197,0.986586515,-0.002613084,0.93468332,-0.002800805,0.982210685,-0.004960745,0.925511627,siUPF1-Destab
KDM5B,-0.001819971,0.952967321,-0.002186784,0.891068983,-0.003132793,0.948115819,-0.003884266,0.892140018,siUPF1-Destab
KDM7A,-0.003055139,0.966943974,-0.003862615,0.977825914,-0.006360452,0.949845897,-0.009620752,0.918976966,siUPF1-Destab
KDM8,-0.003048678,0.85927777,-0.003596656,0.975986867,-0.006501848,0.901205126,-0.008504925,0.99046434,siUPF1-Destab
KEAP1,-0.002072068,0.968923724,-0.002348376,0.950723539,-0.003701818,0.952720809,-0.00432724,0.943827562,siUPF1-Destab
KIAA0226,-0.002236817,0.876589744,-0.003104064,0.875320303,-0.004113686,0.895981194,-0.006546967,0.927659516,siUPF1-Destab
KIAA0232,-0.004186861,0.981374099,-0.004382777,0.986473086,-0.011010118,0.962001997,-0.012849748,0.965309969,siUPF1-Destab
KIAA0355,-0.001402879,0.868526341,-0.002422367,0.922084501,-0.002299133,0.881333463,-0.004470716,0.913673329,siUPF1-Destab
KIAA0430,-0.001870537,0.743900669,-0.002964348,0.843468214,-0.003241667,0.763430312,-0.005823784,0.854223156,siUPF1-Destab
KIAA0753,-0.000863426,0.811949607,-0.001551569,0.881708908,-0.00135531,0.821174769,-0.002590731,0.885121711,siUPF1-Destab
KIAA0825,-0.002379766,0.967530119,-0.003080921,0.953547158,-0.004406471,0.957285241,-0.006459545,0.959815769,siUPF1-Destab
KIAA0922,-0.002886099,0.929976512,-0.00352488,0.808664354,-0.005704027,0.913617795,-0.007399044,0.834142043,siUPF1-Destab
KIAA1107,-0.003848037,0.9779381,-0.004729509,0.963254294,-0.009377881,0.950367155,-0.015468247,0.954279979,siUPF1-Destab
KIAA1217,-0.003276639,0.840064748,-0.003618413,0.833556415,-0.006668825,0.855372037,-0.007809676,0.857454296,siUPF1-Destab
KIAA1328,-0.003041126,0.816137564,-0.00331885,0.937118402,-0.006242682,0.815834098,-0.007263963,0.956971606,siUPF1-Destab
KIAA1429,-0.002349101,0.879595786,-0.003690191,0.902047156,-0.004254512,0.8852943,-0.008209627,0.898277088,siUPF1-Destab
KIAA1468,-0.000919259,0.867533185,-0.002384788,0.869838937,-0.001441738,0.863521547,-0.00442336,0.843618842,siUPF1-Destab
KIAA1549,-0.003162095,0.935606275,-0.003454493,0.932173477,-0.006693048,0.925150437,-0.007737552,0.945229473,siUPF1-Destab
KIAA1551,-0.003355658,0.847237091,-0.004005568,0.955680753,-0.00712678,0.871427561,-0.010197411,0.887793904,siUPF1-Destab
KIAA1586,-0.003120736,0.96191083,-0.004152271,0.996529118,-0.006609517,0.958904165,-0.011061482,0.978725788,siUPF1-Destab
KIAA1715,-0.002750596,0.93111282,-0.003374645,0.92204183,-0.005413517,0.916949576,-0.007351812,0.876277698,siUPF1-Destab
KIAA1919,-0.002869383,0.984010632,-0.00316956,0.946676274,-0.005817868,0.980041205,-0.006567806,0.934690844,siUPF1-Destab
KIAA1958,-0.003471566,0.941521386,-0.003641929,0.953686717,-0.007589018,0.929997155,-0.008485561,0.904102537,siUPF1-Destab
KIAA2018,-0.003652176,0.989426145,-0.004182677,0.956397548,-0.008620375,0.97332357,-0.011757851,0.909854629,siUPF1-Destab
KIF11,-0.001418116,0.820322742,-0.002505654,0.899304275,-0.002316791,0.826961227,-0.004678174,0.887173083,siUPF1-Destab
KIF13A,-0.000829529,0.860115964,-0.00206832,0.928347836,-0.001287623,0.876388334,-0.003677186,0.912680886,siUPF1-Destab
KIF16B,-0.003810449,0.887001017,-0.00443067,0.979537009,-0.008727799,0.898881741,-0.012490827,0.941973089,siUPF1-Destab
KIF18A,-0.003988023,0.897640856,-0.004271574,0.960426323,-0.009530261,0.903077791,-0.011510471,0.89585256,siUPF1-Destab
KIF18B,-0.002090722,0.827080137,-0.002351828,0.930885664,-0.003777638,0.816348502,-0.004362926,0.940481557,siUPF1-Destab
KIF1B,-0.001695188,0.900322201,-0.002311074,0.901603749,-0.002850738,0.901245408,-0.004175975,0.900228446,siUPF1-Destab
KIF21B,-0.001873126,0.705153529,-0.002752631,0.855151612,-0.003310815,0.709841392,-0.005532686,0.927906157,siUPF1-Destab
KIF23,-0.001703407,0.822172954,-0.001994772,0.833083218,-0.002855163,0.829862138,-0.003435651,0.843423885,siUPF1-Destab
KIF27,-0.00289286,0.846239893,-0.003550816,0.981763486,-0.005577699,0.859310714,-0.008115618,0.952682919,siUPF1-Destab
KIF2A,-0.001048307,0.712711489,-0.001465052,0.861496802,-0.001650654,0.727152033,-0.002401894,0.858694986,siUPF1-Destab
KLF11,-0.004175925,0.980544533,-0.004436819,0.996689914,-0.011556745,0.957053922,-0.013087571,0.983102194,siUPF1-Destab
KLF12,-0.003293502,0.973107944,-0.003703505,0.950152891,-0.007072313,0.95583131,-0.008430132,0.932388334,siUPF1-Destab
KLF13,-0.002433818,0.900949064,-0.002872638,0.922152267,-0.004504843,0.895695871,-0.005666622,0.9070247,siUPF1-Destab
KLF15,-0.003835291,0.758531252,-0.004212635,0.885899685,-0.009136617,0.748331891,-0.011692823,0.934901564,siUPF1-Destab
KLF3,-0.003549466,0.959621089,-0.003918179,0.994236762,-0.008420265,0.977744291,-0.009981229,0.986508294,siUPF1-Destab
KLF6,-0.003220015,0.772551576,-0.003590623,0.94674051,-0.007496711,0.843422441,-0.008605576,0.988966404,siUPF1-Destab
KLF7,-0.002188533,0.906837408,-0.003355429,0.976629149,-0.00392848,0.913334622,-0.007425528,0.935937793,siUPF1-Destab
KLHDC10,-0.003257306,0.959128977,-0.003777158,0.996267385,-0.007076685,0.951349347,-0.009151621,0.978841237,siUPF1-Destab
KLHDC7A,-0.002687531,0.786370345,-0.003319824,0.834697534,-0.004985205,0.812316199,-0.006805442,0.857784367,siUPF1-Destab
KLHL11,-0.00341014,0.723054178,-0.00388062,0.855735057,-0.008305073,0.80465396,-0.010780598,0.905569878,siUPF1-Destab
KLHL15,-0.00362823,0.950681214,-0.004251618,0.952726037,-0.008788278,0.976150283,-0.012506464,0.99475669,siUPF1-Destab
KLHL18,-0.00157315,0.860638648,-0.00181656,0.943064044,-0.002712265,0.840399931,-0.003133589,0.92895362,siUPF1-Destab
KLHL21,-0.003374185,0.946346818,-0.003997775,0.977763248,-0.007792268,0.986131796,-0.009937249,0.945518051,siUPF1-Destab
KLHL24,-0.002999921,0.853858097,-0.003888342,0.942607062,-0.005900298,0.860924336,-0.009253358,0.914025714,siUPF1-Destab
KLHL25,-0.004219039,0.967712155,-0.004494683,0.939879735,-0.011157614,0.940632715,-0.012384027,0.926437193,siUPF1-Destab
KLHL28,-0.003049784,0.905875312,-0.003892869,0.926060711,-0.006656949,0.960875319,-0.010307359,0.982362462,siUPF1-Destab
KLHL8,-0.003672782,0.910285452,-0.004288872,0.904004267,-0.009236592,0.960782352,-0.013169164,0.982290436,siUPF1-Destab
KLHL9,-0.003258411,0.967555697,-0.003790956,0.956828233,-0.006910827,0.95234775,-0.008860412,0.93007501,siUPF1-Destab
KMT2A,-0.003257912,0.984411808,-0.003995819,0.971810805,-0.007184799,0.988390592,-0.010213999,0.93648084,siUPF1-Destab
KMT2C,-0.003552349,0.978284659,-0.004153001,0.943831649,-0.008108922,0.955542396,-0.010576196,0.926299914,siUPF1-Destab
KMT2E,-0.004359043,0.970416239,-0.004561699,0.967687861,-0.012869647,0.988757745,-0.014589669,0.968291501,siUPF1-Destab
KPNA5,-0.001883175,0.886771849,-0.00253007,0.939192683,-0.00333402,0.888900869,-0.004969188,0.973759974,siUPF1-Destab
L3MBTL3,-0.001199362,0.834886725,-0.002235216,0.96051359,-0.001944414,0.86754578,-0.004048041,0.949967771,siUPF1-Destab
LARP4B,-0.002956697,0.963487955,-0.003304344,0.980490191,-0.005978535,0.948234258,-0.007126549,0.959483156,siUPF1-Destab
LATS1,-0.003087609,0.981604931,-0.003651704,0.949083215,-0.006618708,0.985238755,-0.008471557,0.942222436,siUPF1-Destab
LATS2,-0.004182698,0.962038224,-0.004363686,0.948833071,-0.011766761,0.987288646,-0.013516515,0.973151611,siUPF1-Destab
LCLAT1,-0.003516151,0.965898094,-0.003985991,0.979912835,-0.008164659,0.982699622,-0.010310327,0.966775522,siUPF1-Destab
LCOR,-0.003359513,0.878481188,-0.003596142,0.86867278,-0.007917163,0.944697507,-0.009177432,0.885185115,siUPF1-Destab
LEMD3,-0.004441863,0.951572883,-0.004745462,0.958253894,-0.012028213,0.927235982,-0.014254755,0.920230041,siUPF1-Destab
LEO1,-0.002803168,0.903224394,-0.0037662,0.927269193,-0.005440857,0.89409679,-0.008833326,0.878022191,siUPF1-Destab
LGR4,-0.002675753,0.835491855,-0.003227734,0.878036098,-0.005034255,0.84847376,-0.006644771,0.87120405,siUPF1-Destab
LHFPL2,-0.003223435,0.979310207,-0.003729803,0.976310592,-0.006833547,0.959377465,-0.008761135,0.945835872,siUPF1-Destab
LHX6,-0.003321943,0.887160208,-0.004195771,0.739997434,-0.007859235,0.878441366,-0.013488647,0.864938233,siUPF1-Destab
LIFR,-0.002614258,0.767552886,-0.003475877,0.91880254,-0.004802968,0.802151672,-0.007590578,0.893679157,siUPF1-Destab
LIG4,-0.003326869,0.830379163,-0.004007819,0.976533162,-0.006869707,0.849933677,-0.010151217,0.928756431,siUPF1-Destab
LIMD1,-0.00098646,0.891285521,-0.001335932,0.86389895,-0.001553065,0.898537174,-0.002155293,0.866148776,siUPF1-Destab
LIN52,-0.003070387,0.880064696,-0.00412826,0.993028768,-0.006741858,0.942338459,-0.01118603,0.984603138,siUPF1-Destab
LIN54,-0.003973311,0.978720395,-0.004441587,0.991803882,-0.009979239,0.961615929,-0.012573504,0.959964916,siUPF1-Destab
LIN7C,-0.000606935,0.790807578,-0.001669157,0.957147928,-0.00092523,0.784703329,-0.002862759,0.955988464,siUPF1-Destab
LIN9,-0.003703488,0.992834667,-0.00429677,0.990677132,-0.008732829,0.974898234,-0.012326489,0.964394291,siUPF1-Destab
LINC00115,-0.002201854,0.660215705,-0.003773022,0.797654914,-0.003988655,0.728694304,-0.010119171,0.855976335,siUPF1-Destab
LINC00294,-0.001588686,0.762219046,-0.002405382,0.902322529,-0.002680589,0.782500362,-0.0046636,0.892797239,siUPF1-Destab
LINC00540,-0.003740449,0.908133342,-0.004134961,0.96587739,-0.008420978,0.901636499,-0.010833392,0.933442228,siUPF1-Destab
LINC00657,-0.001537325,0.899675783,-0.002392278,0.889551849,-0.002551232,0.895217686,-0.004425948,0.864743027,siUPF1-Destab
LINC00890,-0.003216748,0.912925568,-0.004324409,0.929265121,-0.006830111,0.909512171,-0.012950345,0.90459214,siUPF1-Destab
LINC00909,-0.003703917,0.983690322,-0.004105153,0.98959243,-0.008727652,0.948600349,-0.010655945,0.969555197,siUPF1-Destab
LINC01004,-0.00363208,0.785097213,-0.004334599,0.763866396,-0.009178787,0.900282768,-0.014697701,0.92050651,siUPF1-Destab
LINC01012,-0.003066946,0.688592584,-0.003518266,0.866517715,-0.006632235,0.722933362,-0.008580192,0.885332496,siUPF1-Destab
LINC01234,-0.00373859,0.865931765,-0.004125597,0.925059973,-0.009606701,0.883446903,-0.011589926,0.980404088,siUPF1-Destab
LIPT1,-0.003698153,0.910819828,-0.003928369,0.91861577,-0.008857425,0.939171243,-0.010206989,0.955642014,siUPF1-Destab
LMTK2,-0.003240375,0.955430936,-0.003488733,0.909234211,-0.006824932,0.93563553,-0.00754286,0.904655031,siUPF1-Destab
LNX2,-0.003416289,0.992254335,-0.004044665,0.981822479,-0.007632995,0.980087337,-0.010342266,0.961874153,siUPF1-Destab
LOC100128398,-0.001984915,0.907684394,-0.002296835,0.903207134,-0.003598017,0.936238666,-0.00434685,0.937248742,siUPF1-Destab
LOC101927045,-0.00328863,0.869419374,-0.003667481,0.946179594,-0.006963061,0.875294164,-0.008524131,0.939202398,siUPF1-Destab
LOC101927365,-0.004162854,0.807061988,-0.004308502,0.964109113,-0.011519011,0.831579753,-0.012705468,0.995567812,siUPF1-Destab
LOC101928279,-0.003202232,0.899379176,-0.003745783,0.658395033,-0.00691466,0.828288403,-0.00933174,0.862270107,siUPF1-Destab
LOC101929715,-0.002060583,0.767218094,-0.002747678,0.92559557,-0.00395779,0.707701671,-0.005593724,0.868975236,siUPF1-Destab
LOC202181,-0.002981349,0.839391765,-0.003840745,0.942217965,-0.005899129,0.865234641,-0.009396857,0.948001164,siUPF1-Destab
LOC284023,-0.00355785,0.865595225,-0.003637144,0.862027604,-0.007858598,0.843204138,-0.008724058,0.932627011,siUPF1-Destab
LOC286059,-0.003354107,0.66917591,-0.003711106,0.892682487,-0.006718197,0.745795977,-0.009544276,0.953796632,siUPF1-Destab
LOC441155,-0.000968243,0.950968211,-0.001658692,0.863171924,-0.001517546,0.950447254,-0.002773384,0.867349776,siUPF1-Destab
LOC554206,-0.002909595,0.750437266,-0.003852019,0.918680439,-0.00573474,0.758360413,-0.009886548,0.869189199,siUPF1-Destab
LOC646762,-0.003002079,0.915166929,-0.003295464,0.976175693,-0.005984295,0.908317765,-0.007204416,0.978917871,siUPF1-Destab
LOC90784,-0.001399487,0.92001156,-0.002080835,0.849294265,-0.002330031,0.934709347,-0.00369379,0.826690311,siUPF1-Destab
LONRF1,-0.001478344,0.967927983,-0.001888211,0.903221974,-0.002449223,0.960010559,-0.003251188,0.898429476,siUPF1-Destab
LPAR3,-0.002921072,0.978687266,-0.003412144,0.973020414,-0.005908174,0.958686117,-0.007763545,0.985109114,siUPF1-Destab
LRAT,-0.00208884,0.93558726,-0.003154996,0.962162972,-0.003824137,0.960530841,-0.006879029,0.917740287,siUPF1-Destab
LRCH1,-0.0039023,0.955761394,-0.004483028,0.990557213,-0.009466151,0.925827414,-0.012868668,0.960291527,siUPF1-Destab
LRCH3,-0.001116069,0.735257903,-0.00213413,0.87176943,-0.001746809,0.752615986,-0.003797686,0.874551611,siUPF1-Destab
LRFN2,-0.004525939,0.720003627,-0.004395072,0.631688498,-0.013815811,0.743073988,-0.01588417,0.84281311,siUPF1-Destab
LRIG1,-0.001734708,0.930414836,-0.002361679,0.975188854,-0.003004944,0.921373255,-0.004459571,0.98082483,siUPF1-Destab
LRIG2,-0.003152125,0.96245207,-0.004189648,0.968893804,-0.006879005,0.992220469,-0.011881988,0.931697922,siUPF1-Destab
LRP6,-0.003020239,0.985019489,-0.003800679,0.964739373,-0.006208416,0.967522982,-0.009076492,0.920000342,siUPF1-Destab
LRRC16A,-0.001078837,0.886322695,-0.002197282,0.951601904,-0.001724301,0.890861138,-0.004013305,0.940920867,siUPF1-Destab
LRRC37A4P,-0.001013269,0.752289189,-0.00144536,0.815006264,-0.001609318,0.75695683,-0.002381856,0.808848445,siUPF1-Destab
LRRC37A6P,-0.002458769,0.937385643,-0.002697431,0.906153797,-0.004634857,0.945990245,-0.00532527,0.88634069,siUPF1-Destab
LRRC55,-0.004394692,0.895836471,-0.004670889,0.869237716,-0.013367352,0.941486949,-0.016871611,0.938822819,siUPF1-Destab
LRRC8B,-0.001577634,0.943638709,-0.002537162,0.919443676,-0.002664068,0.934546955,-0.004761543,0.910323472,siUPF1-Destab
LRRC8C,-0.003866715,0.82793186,-0.004334593,0.863309647,-0.008715305,0.858735597,-0.010956535,0.885696949,siUPF1-Destab
LRRC8E,-0.004510326,0.921535974,-0.004798818,0.914993292,-0.01250524,0.896518883,-0.014258138,0.894432046,siUPF1-Destab
LRRTM1,-0.003420811,0.784217788,-0.003768333,0.874552506,-0.008180078,0.795468816,-0.010040284,0.875384861,siUPF1-Destab
LRRTM4,-0.003814271,0.918920212,-0.004004339,0.908087513,-0.009818591,0.917955831,-0.010820633,0.865554632,siUPF1-Destab
LTV1,-0.000917696,0.750055331,-0.001786318,0.898451954,-0.001446751,0.737776415,-0.003035792,0.900331558,siUPF1-Destab
LURAP1,-0.003262682,0.926964903,-0.003461597,0.82663176,-0.006841893,0.921090565,-0.008380694,0.874444151,siUPF1-Destab
LUZP1,-0.003882593,0.925797829,-0.004262748,0.956226103,-0.009061921,0.911785871,-0.011083526,0.925639966,siUPF1-Destab
LYPD6,-0.003194595,0.8366984,-0.004000999,0.996150556,-0.006763568,0.79449315,-0.010275821,0.979095666,siUPF1-Destab
LYRM2,-0.002010241,0.946608329,-0.002770175,0.978076695,-0.003574567,0.93396465,-0.005476526,0.964482116,siUPF1-Destab
LYSMD1,-0.002970996,0.773751076,-0.003537072,0.955735692,-0.006709664,0.75949955,-0.008338999,0.957028878,siUPF1-Destab
LYSMD3,-0.002884534,0.977937211,-0.003861487,0.96860642,-0.005838535,0.973810234,-0.009769227,0.922107712,siUPF1-Destab
LZTS1,-0.004590405,0.949113726,-0.004683754,0.967482081,-0.013202607,0.933104566,-0.014935128,0.951845764,siUPF1-Destab
MAFK,-0.002242485,0.856253745,-0.003067755,0.841216012,-0.004138852,0.863743229,-0.006537904,0.885547542,siUPF1-Destab
MAGEE1,-0.003214547,0.934318524,-0.004365445,0.956653758,-0.007026977,0.882182157,-0.01188868,0.945067059,siUPF1-Destab
MAGI3,-0.003689188,0.97369425,-0.004483201,0.992721993,-0.008614106,0.964031006,-0.012997116,0.954420065,siUPF1-Destab
MAK16,-0.001429714,0.896078876,-0.001776347,0.925695305,-0.002368946,0.8927753,-0.003050932,0.913202677,siUPF1-Destab
MALT1,-0.002721739,0.690507544,-0.003527804,0.816644646,-0.004978446,0.745118289,-0.007498854,0.834655642,siUPF1-Destab
MAP10,-0.004589316,0.934389774,-0.00481776,0.933941077,-0.014727297,0.96935608,-0.018794442,0.954746681,siUPF1-Destab
MAP2K4,-0.001394749,0.897091723,-0.002106183,0.931318141,-0.002290348,0.896177388,-0.003736396,0.927455509,siUPF1-Destab
MAP2K4P1,-0.001915205,0.927171003,-0.002449108,0.928768894,-0.00332071,0.925489055,-0.004545147,0.919247028,siUPF1-Destab
MAP3K1,-0.004467708,0.987020752,-0.004937358,0.987675301,-0.012808561,0.962353968,-0.017082309,0.943104599,siUPF1-Destab
MAP3K2,-0.003383093,0.985246766,-0.003986064,0.973202883,-0.007465125,0.968126398,-0.010107667,0.913264644,siUPF1-Destab
MAP3K8,-0.002687887,0.707538183,-0.003432616,0.871996502,-0.005508511,0.771904297,-0.008250173,0.93007284,siUPF1-Destab
MAP4K3,-0.001723817,0.790540796,-0.00252266,0.861128599,-0.002899792,0.798711173,-0.004731348,0.841436303,siUPF1-Destab
MAP7D3,-0.001216529,0.895706875,-0.002489777,0.86975129,-0.001944351,0.893239474,-0.004573854,0.874580746,siUPF1-Destab
MARK1,-0.000863287,0.854706594,-0.001563937,0.914048741,-0.001338058,0.861758266,-0.002595714,0.911725111,siUPF1-Destab
MARVELD2,-0.001897259,0.882312544,-0.002954545,0.982151052,-0.003254907,0.883088162,-0.006028499,0.965431102,siUPF1-Destab
MARVELD3,-0.002690411,0.893688762,-0.003099288,0.929300038,-0.005233635,0.866283303,-0.006360129,0.926515473,siUPF1-Destab
MASTL,-0.001657625,0.846659539,-0.002280168,0.827469398,-0.002771028,0.861612722,-0.004075518,0.831785427,siUPF1-Destab
MAT2B,-0.001841869,0.962639144,-0.002924718,0.954210533,-0.003230805,0.970637685,-0.006020494,0.937786518,siUPF1-Destab
MB21D2,-0.004336054,0.994760533,-0.00471345,0.992053175,-0.012251879,0.97190686,-0.015214128,0.963153734,siUPF1-Destab
MBD4,-0.002069952,0.978042479,-0.002488415,0.967676624,-0.003737356,0.970565902,-0.004692797,0.956168375,siUPF1-Destab
MBD5,-0.003900031,0.941947227,-0.004214691,0.902307708,-0.010242002,0.987267419,-0.012031448,0.970816861,siUPF1-Destab
MBIP,-0.001485002,0.920376259,-0.003230383,0.959534619,-0.002467318,0.923671936,-0.006906885,0.919821776,siUPF1-Destab
MBLAC2,-0.00377904,0.987973685,-0.004533048,0.957986554,-0.009348835,0.995038251,-0.014741655,0.985878059,siUPF1-Destab
MBNL1,-0.002899475,0.970103245,-0.003324248,0.950345793,-0.006039823,0.982350741,-0.007470099,0.895037362,siUPF1-Destab
MBNL3,-0.002788016,0.803203501,-0.003869229,0.92909735,-0.005855354,0.864930017,-0.010099066,0.958483878,siUPF1-Destab
MBOAT2,-0.00097231,0.878091261,-0.001685192,0.884993832,-0.001529877,0.891003273,-0.002854189,0.870541598,siUPF1-Destab
MCL1,-0.002277959,0.890069588,-0.002496134,0.854910104,-0.004133172,0.895440551,-0.004597902,0.857753679,siUPF1-Destab
MCM10,-0.002405615,0.994638413,-0.00306015,0.978497538,-0.004532311,0.989207883,-0.006407822,0.953959235,siUPF1-Destab
MCM3AP-AS1,-0.002710963,0.854051983,-0.003868166,0.911496132,-0.005454725,0.837817693,-0.009479823,0.921433994,siUPF1-Destab
MCPH1,-0.003546677,0.963694818,-0.004009317,0.998473721,-0.007966405,0.953197668,-0.010214176,0.977588,siUPF1-Destab
MDM2,-0.002793569,0.824853434,-0.003366474,0.908660265,-0.005377537,0.849593285,-0.0071036,0.903479192,siUPF1-Destab
MED1,-0.001082516,0.975582752,-0.001581711,0.94542288,-0.001725696,0.97319195,-0.002651528,0.93693239,siUPF1-Destab
MED12L,-0.001365036,0.737286201,-0.002595632,0.861945241,-0.002225476,0.766512723,-0.005126026,0.855913779,siUPF1-Destab
MED13,-0.003732552,0.979726248,-0.004154849,0.994124675,-0.009227702,0.999363983,-0.011206058,0.960406607,siUPF1-Destab
MED21,-0.000935066,0.741259078,-0.002212985,0.920716371,-0.00146212,0.751823311,-0.003974837,0.919088676,siUPF1-Destab
MED31,-0.003313562,0.668966938,-0.004686713,0.934416632,-0.006725778,0.711391423,-0.014497412,0.91292573,siUPF1-Destab
MED6,-0.000891029,0.853156081,-0.001640773,0.902243667,-0.00140255,0.841998055,-0.002749347,0.905293557,siUPF1-Destab
MED7,-0.002955281,0.946015357,-0.003413919,0.847011871,-0.006006707,0.942865028,-0.007819412,0.910096187,siUPF1-Destab
MEF2A,-0.002944907,0.945697909,-0.00341272,0.960989155,-0.005954224,0.926670679,-0.00740812,0.942336021,siUPF1-Destab
MEF2D,-0.003305638,0.852527576,-0.003644495,0.93341022,-0.007253415,0.869000893,-0.008254577,0.914552498,siUPF1-Destab
MEGF9,-0.004140725,0.729372284,-0.004624153,0.882613711,-0.012203505,0.913970944,-0.016847712,0.995406336,siUPF1-Destab
METTL14,-0.001594553,0.962622435,-0.002854733,0.984163549,-0.002687874,0.958915803,-0.005806564,0.9623946,siUPF1-Destab
METTL16,-0.001488773,0.960978011,-0.001960517,0.946716284,-0.002473351,0.949675896,-0.003434774,0.932411996,siUPF1-Destab
